Species,Bird_Population_Parameter,Life_Cycle_Phase,Region,PD_Species,Methodology,Variable,Effect Direction,Descriptive only?,Abundance_Change,Abundance_Num,H1 Conclusion,Reference,Ref_Num,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest density,nests/ha,Neutral,No,Neutral,0,Equivocal,Woodard,254,,,,,,,,,,,,,,,,,,,,,,,,,Occupancy,NA
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Productivity,fledglings/nest,Neutral,No,Neutral,0,Equivocal,Woodard,254,,,,,,,,,,,,,,,,,,,,,,,,,Nest density,nests/ha
Burrowing Owl,Nesting,Breeding Season/Adult,NE (USA),BTPD,Productivity,fledglings/colony,Neutral,No,Neutral,0,Equivocal,Ekstein,273,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest success,Binary,Neutral,No,Neutral,0,Equivocal,Pezzolesi,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrowing Owl,Survival,Breeding Season/Juvenile,ND (USA),BTPD,Juvenile survival,NA,Neutral,No,Neutral,0,Equivocal,Davies and Restani,277,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Goose,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassin's Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Negative,No,Decrease,-1,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassin's Sparrow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassin's Sparrow,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,NA,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassin's Sparrow,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassins's Sparrow,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattle Egret,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,birds/site,Positive,No,Increase,1,Supports,Merriman,271,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-collared/Thick-billed Longspur,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-collared Longspur,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-collared Longspur,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Positive,No,Increase,1,Supports,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-collared Longspur,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-collared Longspur,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahuan Raven,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahuan Raven,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2027,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay-colored Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2028,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2029,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2030,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Neutral,No,Neutral,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve-billed Thrasher,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark-eyed Junco,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickcissel,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickcissel,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2031,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickcissel,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2032,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Meadowlark,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
European Starling,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
European Starling,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Positive,No,Increase,1,Supports,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,Avg birds/count,Positive,No,Increase,1,Supports,Merriman,271,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Field Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2033,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2034,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Negative,No,Decrease,-1,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Negative,No,Decrease,-1,NA,Geaumont et al 2035,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Negative,No,Decrease,-1,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,NA,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Catbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2036,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Horned Owl,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Horned Owl,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Sage-Grouse,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Sage-Grouse,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-winged Teal,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Negative,No,Decrease,-1,Does not support,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,Does not support,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Positive,No,Increase,1,Supports,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Positive,No,Increase,1,Supports,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance,birds/12.6 ha,Positive,No,Increase,1,Supports,Duchard et al (2021),51,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2037,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding & Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
House Finch,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
House Sparrow,Occurrence,Year-round/Adult,OK (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
House Sparrow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Positive,No,Increase,1,Supports,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2038,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Neutral,No,Neutral,0,Does not support,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladder-backed Woodpecker,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapland Longspur,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Negative,No,Decrease,-1,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Negative,No,Decrease,-1,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Negative,No,Decrease,-1,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,NA,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance,birds/12.6 ha,Neutral,No,Neutral,0,Equivocal,Duchard et al (2021),51,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Bunting,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
