Ref_Num,Paper_Authors,Variable_Number,PD_Species,Bird_Species,Bird_Category,Country,State_Province,Loc_Name,Tribal_Land,Habitat_Type,Habitat_Type_1,Habitat_Type_2,Habitat_Type_3,Habitat_Type_4,Lat,Long,Ref_Num_BCR,BCR,BCRNAME,Start_Year,End_Year,Study_Duration,Season,Months,Sampling_Period,Sampling_Period_1,Sampling_Period_2,Sampling_Period_3,Sampling_Period_4,Patch_Size_ha,Grazing_Regime,Fire_Regime,Mean_PD_Size,Total_PD_Size,Min_PD_Size,Max_PD_Size,Effect_Type,Survey_Type,Sampling_Scheme,Abundance_Variable,Abundance_Units,Abundance_Test,Alpha_Variable,Alpha_Units,Alpha_Test,Beta_Variable,Beta_Units,Beta_Test,Demo_Variable_1,Demo_Units_1,Demo_Test_1,Demo_Variable_2,Demo_Units_2,Demo_Test_2,Diet_Variable_1,Diet_Units_1,Diet_Test_1,Diet_Variable_2,Diet_Units_2,Diet_Test_2,Summary_Data,Sample_Size_Count,Sample_Size_Units,Variance,Effect_Size,Data_Text,Data_Figures,Data_Availability,Conclusions,Evidence_Strength,Hypothesis_1,Hypothesis_2,Hypothesis_3,Descriptive_only
21,Augustine and Derner 2012,1,BTPD,MOPL,MOPL,USA,CO,"CPER, Pawnee NG",No,"Shortgrass Prairie, Mixed-grass Prairie",Shortgrass Prairie,Mixed-grass Prairie,NA,NA,40.842,-104.4003,21,18,SHORTGRASS PRAIRIE,2007,2010,4,Spring,Apr-May,Breeding Season,Breeding Season,NA,NA,NA,"60,900",Cattle,Dormant-season burns,Not specified,"1,200",16,Not specified,Nesting,Nest searching,Vegetation surveys of nest sites and foraging sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,Percent composition,Moran's I,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,61,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"Bare soil % was an important metric for MOPL selection of nesting and foraging sites. Active prairie dog colonies had the highest mean bare soil %, and prairie dog colonies and burns produced suitable habitat whereas intensive livestock grazing did not.",Strong,Supports,NA,NA,No
22,Augustine et al,1,BTPD,MOPL,MOPL,USA,"CO, MT","Phillips County, Pawnee NG, CPER, Comanche NG",No,"Shortgrass Prairie, Mixed-grass Prairie, Sagebrush Steppe",Shortgrass Prairie,Mixed-grass Prairie,Sagebrush Steppe,NA,41.615,-104.925,22,18,SHORTGRASS PRAIRIE,2003,2007,5,Spring/Summer,Apr-July,Breeding Season,Breeding Season,NA,NA,NA,"60,900",Cattle,Not specified (presumably suppressed),Not specified,"1,114 ha",Not specified,Not specified,Nesting,Nest searching,Nest searching on prairie dog towns pre and post plague,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,nests/colony,Wilcoxon Rank-Sum (two-sided),NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,234,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"1) On recovering PD colonies, MOPL nested on differently aged sections of colonies in proportion to their available area (i.e., colony age did not affect plover nesting density). 2) MOPL declined rapidly (<2 yr) on PD colonies experiencing plague events. Authors say this is due to rapid loss of grazing and recovery of vegetation, but arthropod loss may contribute too? 3) MOPL nesting closely tracks area of active occupancy by prairie dogs in this system.",Strong,Supports,NA,NA,No
23,Augustine and Skagen,2,BTPD,MOPL,MOPL,USA,CO,"CPER, Pawnee NG",No,"Shortgrass Prairie, Mixed-grass Prairie",Shortgrass Prairie,Mixed-grass Prairie,NA,NA,40.841367,-104.70901,23,18,SHORTGRASS PRAIRIE,2008,2012,5,Spring,Apr-May,Breeding Season,Breeding Season,NA,NA,NA,"60,900",Cattle,Dormant-season burns,Not specified,Not specified,Not specified,Not specified,Nesting,Nest searching,Nest searching on PD towns and burns,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest survival,p(surv)/day,MARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,84,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"MOPL density was similar between BTPD colonies and dormant-season burns, but MOPL nest survival was higher on BTPD colonies than burns.",Strong,Supports,NA,NA,No
23,Augustine and Skagen,1,BTPD,MOPL,MOPL,USA,CO,"CPER, Pawnee NG",No,"Shortgrass Prairie, Mixed-grass Prairie",Shortgrass Prairie,Mixed-grass Prairie,NA,NA,40.841367,-104.70901,23,18,SHORTGRASS PRAIRIE,2008,2012,5,Spring,Apr-May,Breeding Season,Breeding Season,NA,NA,NA,"60,900",Cattle,Dormant-season burns,Not specified,Not specified,Not specified,Not specified,Nesting,Point count,Nest searching on PD towns and burns,Relative density,birds/km^2,DISTANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified?,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,"MOPL density was similar between BTPD colonies and dormant-season burns, but MOPL nest survival was higher on BTPD colonies than burns.",Strong,Supports,NA,NA,No
24,Childers and Dinsmore,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,24,11,PRAIRIE POTHOLES,2004,2004,1,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"716,200",Cattle,Suppressed,Not specified,"10,515",1,308,Occurrence,Point count,Radial distance point count,Relative density,birds/km^2,DISTANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,919,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,"MOPL density was highest on prairie dog towns compared to other habitat types, where it wsa significantly lower.",Moderate,Supports,NA,NA,No
25,Dinsmore et al,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,25,11,PRAIRIE POTHOLES,1995,2000,6,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"300,000",Cattle,Suppressed,Not specified,"5,071",Not specified,Not specified,Survival,Mark-recapture,All PD towns searched >3 times/season,NA,NA,NA,NA,NA,NA,NA,NA,NA,Population change (lambda),NA,Pradel Model,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified?,,Not calculating,Not calculating,Yes,No,Not mentioned,"When a major sylvatic plague outbreak swept the area and decimated BTPDs, MOPLs declined. As they recovered, so did MOPL numbers. Population change may have been negatively correlated because total area was not best metric or b/c rate of PD town growth exceeded rate of MOPL recovery.",Strong,Supports,NA,NA,No
26,Dinsmore,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,26,11,PRAIRIE POTHOLES,2003,2010,8,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"300,000",Cattle,Suppressed,Not specified,Not specified,19 ha,177,Nesting,Nest searching,Nest searching for MOPL on control and treatment towns,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest survival,p(surv)/day,MARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,412,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"MOPL nest survival decreased when deltamethrin was applied to PD burrows to kill arthropods, indicating that MOPL rely on arthropods on PD towns for their diets.",Strong,Supports,NA,NA,No
27,Dinsmore and Smith,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,27,11,PRAIRIE POTHOLES,1995,2007,13,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"300,000",Cattle,Suppressed,27.88,"5,000",0,246,Occurrence,Point count,Intensive mapping and surveys of all prairie dog towns,Presence/absence,p(detection),robust design patch occupancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified?,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,"MOPL quickly abandoned plague-affected colonies and were slower to recolonize them. However, the proportion of colonies occupied by MOPL remained constant over the years due to plague cycles and plover dispersal capabilities. Presumably the overall proportion of occupied colonies would increase if plague was successfully mitigated. Colony area did not affect occupancy probability, but this is a limited index of habitat quality.",Strong,Supports,NA,NA,No
28,Dinsmore et al,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,28,11,PRAIRIE POTHOLES,1995,2000,6,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"300,000",Cattle,Suppressed,Not specified,"5,000",Not specified,Not specified,Survival,Mark-recapture,Intensive demography study,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apparent survival,p(surv),Robust design model,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,633,color banded MOPL,Not calculating,Not calculating,Yes,Yes,Not mentioned,"MOPL-BTPD relationship was not expressly tested, but strong observational evidence that plovers primarily inhabit BTPD towns in this area. High capture probabilities and little im/emigration from PD towns",Weak,Supports,NA,NA,Yes
30,Dreitz,1,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.568097,-103.367729,30,18,SHORTGRASS PRAIRIE,2004,2006,3,Spring/Summer,Apr-Aug,Breeding Season,Breeding Season,Postbreeding Migration,NA,NA,"21,500",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Nesting,"Prey sampling, radio-tagging","Prey sampling, radio-tagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,Chick survival,p(surv)/30 days,CJS model,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,153,"MOPL broods; also, 12,960 pitfall traps",Not calculating,Not calculating,Yes,No,Not mentioned,"Chick survival was significantly higher on prairie dog towns than agricultural or grassland habitat. However, brood movements and chick survival were not explained by prey densities or biomass, which varied considerably. And despite PD towns having the highest chick survival, some broods moved away for unknown reasons",Strong,Supports,NA,NA,No
30,Dreitz,3,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.568097,-103.367729,30,18,SHORTGRASS PRAIRIE,2004,2006,3,Spring/Summer,Apr-Aug,Breeding Season,Breeding Season,Postbreeding Migration,NA,NA,"21,500",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,"Prey sampling, radio-tagging","Prey sampling, radio-tagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prey density,100 items/ha,Distance,NA,NA,NA,Reported,153,"MOPL broods; also, 12,960 pitfall traps",Not calculating,Not calculating,Yes,No,Not mentioned,"Chick survival was significantly higher on prairie dog towns than agricultural or grassland habitat. However, brood movements and chick survival were not explained by prey densities or biomass, which varied considerably. And despite PD towns having the highest chick survival, some broods moved away for unknown reasons",Strong,Equivocal,NA,NA,No
30,Dreitz,4,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.568097,-103.367729,30,18,SHORTGRASS PRAIRIE,2004,2006,3,Spring/Summer,Apr-Aug,Breeding Season,Breeding Season,Postbreeding Migration,NA,NA,"21,500",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,"Prey sampling, radio-tagging","Prey sampling, radio-tagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,g,SAS,NA,NA,NA,Reported,153,"MOPL broods; also, 12,960 pitfall traps",Not calculating,Not calculating,Yes,No,Not mentioned,"Chick survival was significantly higher on prairie dog towns than agricultural or grassland habitat. However, brood movements and chick survival were not explained by prey densities or biomass, which varied considerably. And despite PD towns having the highest chick survival, some broods moved away for unknown reasons",Strong,Equivocal,NA,NA,No
30,Dreitz,2,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.568097,-103.367729,30,18,SHORTGRASS PRAIRIE,2004,2006,3,Spring/Summer,Apr-Aug,Breeding Season,Breeding Season,Postbreeding Migration,NA,NA,"21,500",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Movement,"Prey sampling, radio-tagging","Prey sampling, radio-tagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brood movement,p(movement),CJS model,NA,NA,NA,NA,NA,NA,Reported,153,"MOPL broods; also, 12,960 pitfall traps",Not calculating,Not calculating,Yes,No,Not mentioned,"Chick survival was significantly higher on prairie dog towns than agricultural or grassland habitat. However, brood movements and chick survival were not explained by prey densities or biomass, which varied considerably. And despite PD towns having the highest chick survival, some broods moved away for unknown reasons",Strong,Supports,NA,NA,No
31,Dreitz et al,1,BTPD,MOPL,MOPL,USA,CO,Eastern Colorado,No,"Shortgrass Prairie, Agriculture",Shortgrass Prairie,Agriculture,NA,NA,38.57695,-104.46048,31,18,SHORTGRASS PRAIRIE,2003,2003,1,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"26,983,800",Cattle,Not specified (presumably suppressed),N/A (statewide),N/A (statewide),N/A (statewide),N/A (statewide),Occurrence,Point count,"82 patches: 26 ag, 26 grassland, 30 PD",Presence/absence,birds/patch,Royle-Nichols Abundance Model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,184,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Mountain Plover abundance was highest on prairie dog towns, somewhat lower in ag, and much lower in non-PD grassland",Moderate,Supports,NA,NA,No
32,Duchardt et al (2020),1,BTPD,MOPL,MOPL,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe",Shortgrass Prairie,Sagebrush Steppe,NA,NA,43.936484,-104.814156,32,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),268,Not specified,6,"4,000",Occurrence,Transect,"Transects on PD colony, PD colony edge, and sagebrush",Relative density,birds/km^2,DISTANCE abundance model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,138,MOPL nests,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Highest MOPL density on colonies 100-500 ha, with density decreasing on extremely large colonies. MOPL's preferred older portions of ""medium-sized"" colonies. MOPL nest site selection was positively associated with vegetation characteristics that PDs are responsible for-- extremely low vegetation heights, increased bare ground cover, and increased annual forb cover. MOPL nest survival was largely influenced by weather variables, but nest predation vs. nest abandonment as causes made it difficult to discern results for predation.",Strong,Supports,NA,NA,No
32,Duchardt et al (2020),3,BTPD,MOPL,MOPL,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe",Shortgrass Prairie,Sagebrush Steppe,NA,NA,43.936484,-104.814156,32,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),268,Not specified,6,"4,000",Nesting,Transect,"Transects on PD colony, PD colony edge, and sagebrush",NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,Veg @ paired points,Linear regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,138,MOPL nests,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Highest MOPL density on colonies 100-500 ha, with density decreasing on extremely large colonies. MOPL's preferred older portions of ""medium-sized"" colonies. MOPL nest site selection was positively associated with vegetation characteristics that PDs are responsible for-- extremely low vegetation heights, increased bare ground cover, and increased annual forb cover. MOPL nest survival was largely influenced by weather variables, but nest predation vs. nest abandonment as causes made it difficult to discern results for predation.",Strong,Supports,NA,NA,No
32,Duchardt et al (2020),2,BTPD,MOPL,MOPL,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe",Shortgrass Prairie,Sagebrush Steppe,NA,NA,43.936484,-104.814156,32,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),268,Not specified,6,"4,000",Nesting,Transect,"Transects on PD colony, PD colony edge, and sagebrush",NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest survival,p(surv)/day,Logistic exposure,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,138,MOPL nests,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Highest MOPL density on colonies 100-500 ha, with density decreasing on extremely large colonies. MOPL's preferred older portions of ""medium-sized"" colonies. MOPL nest site selection was positively associated with vegetation characteristics that PDs are responsible for-- extremely low vegetation heights, increased bare ground cover, and increased annual forb cover. MOPL nest survival was largely influenced by weather variables, but nest predation vs. nest abandonment as causes made it difficult to discern results for predation.",Strong,Supports,NA,NA,No
33,Goguen (2012),1,BTPD,MOPL,MOPL,USA,NM,Vermejo Park Ranch,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.888592,-104.979034,33,16,SOUTHERN ROCKIES/COLORADO PLATEAU,2009,2010,2,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"16,190",Bison,Not specified (presumably suppressed),60.7,"2,672",0.8,483,Occurrence,Point count,Surveyed and nest searched on 44 PD towns,Presence/absence,Binary,Logistic regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,44,PD towns,Not calculating,Not calculating,Yes,No,Not mentioned,"Mean vegetation height was the most important variable for MOPL occupancy of PD colonies-- higher vegetation, lower probability of plover occupancy. Occupancy probability also increased with colony area and the proportion of colonies within 2 km. Nest site selection was positively associated with percent bare ground cover and slope (odd), but negatively associated with forb cover. MOPL tended to avoid placing nest sites near burrows, presumably due to incidental disturbance.",Moderate,Supports,NA,NA,No
33,Goguen (2012),2,BTPD,MOPL,MOPL,USA,NM,Vermejo Park Ranch,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.888592,-104.979034,33,16,SOUTHERN ROCKIES/COLORADO PLATEAU,2009,2010,2,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"16,190",Bison,Not specified (presumably suppressed),60.7,"2,672",0.8,483,Occurrence,Point count,Surveyed and nest searched on 44 PD towns,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,Veg @ paired points,Linear regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,21,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"Mean vegetation height was the most important variable for MOPL occupancy of PD colonies-- higher vegetation, lower probability of plover occupancy. Occupancy probability also increased with colony area and the proportion of colonies within 2 km. Nest site selection was positively associated with percent bare ground cover and slope (odd), but negatively associated with forb cover. MOPL tended to avoid placing nest sites near burrows, presumably due to incidental disturbance.",Moderate,Supports,NA,NA,No
34,Manning and White (2001),1,WTPD,MOPL,MOPL,USA,UT,Uintah Basin,Yes,Sagebrush Steppe,Sagebrush Steppe,NA,NA,NA,40.028269,-109.915926,34,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1992,1998,7,Spring/Summer,May-Aug,Breeding Season,Breeding Season,NA,NA,NA,"15,028",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Nesting,Nest searching,Surveyed and nest searched within a known area,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,8,MOPL nests,NA,NA,Yes,No,Not mentioned,4/5 MOPL nests were located an average of 8.5 WTPD mounds ,Weak,Supports,NA,NA,Yes
35,McConnell et al (2008),1,BTPD,MOPL,MOPL,USA,OK,OK Panhandle,No,"Agriculture, Shortgrass Prairie",Agriculture,Shortgrass Prairie,NA,NA,36.731249,-102.603296,35,18,SHORTGRASS PRAIRIE,2004,2005,2,Spring/Summer,May,Breeding Season,Breeding Season,NA,NA,NA,"476,900",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,Point counts from roadsides,Relative density,birds/km^2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,1104,point counts,Not calculating,Not calculating,Yes,No,Not mentioned,"90% of MOPL detections were in bare fields, while only 5% of detections were on prairie dog towns. However, relative densities of MOPL were low overall, and the majority of the study area was devoted to agricultural production, so there was likely not much suitable PD habitat available.",Weak,Equivocal,NA,NA,Yes
36,Plumb et al (2005),1,"BTPD, WTPD",MOPL,MOPL,USA,WY,"Thunder Basin NG, Medicine Bow",No,"Sagebrush Steppe, Shortgrass Prairie",Sagebrush Steppe,Shortgrass Prairie,NA,NA,42.69715,-105.5496,36,16,SOUTHERN ROCKIES/COLORADO PLATEAU,2002,2003,2,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"25,360,000",Cattle,Not specified (presumably suppressed),N/A (statewide),N/A (statewide),N/A (statewide),N/A (statewide),Nesting,Nest searching,Surveyed and nest searched within a known area,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest site selection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,MOPL nests,Not calculating,Not calculating,Yes,No,Not mentioned,"Black-tailed Prairie Dogs present at 53% of grassland sites with nesting plovers. White-tailed Prairie Dogs present at 13% of desert sites with nesting plovers. Mean bare ground of nest plots was 53%, so there may have already been ample bare ground w/o PDs",Weak,Does not support,NA,NA,Yes
37,"Skrade, PDB; Dinsmore, SJ",1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.779429,-108.198038,37,11,PRAIRIE POTHOLES,1995,2008,14,Spring/Summer,May-Aug,"Breeding, Postbreeding Migration",Breeding Season,Postbreeding Migration,NA,NA,"300,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Movement,Mark-recapture,Nest searched and banded adults/broods,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dispersal distance,km,GLIMMIX,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,38,banded MOPL,Not calculating,Not calculating,Yes,No,Not mentioned,"Examined whether plague influenced whether MOPL switched to a different town between years. 40% of birds re-nested on plagued towns, compared to 50% for no plague. ""Not significant"" due to borderline p-value. Authors say this suggests a plague effect inter-annual dispersal.",Weak,Equivocal,NA,NA,No
41,Knowles and Knowles,1,BTPD,MOPL,MOPL,USA,MT,Montana (statewide),No,"Shortgrass Prairie, Mixed-grass Prairie, Sagebrush Steppe",Shortgrass Prairie,Mixed-grass Prairie,Sagebrush Steppe,NA,46.85933367,-109.6169923,41,17,BADLANDS AND PRAIRIES,1991,1997,7,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"683,300",Cattle and sheep,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,Driving transects to count MOPL,Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,441,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,"The authors thoroughly survey several areas in MT for Mountain Plovers to characterize their habitat. At two of the three sites, MOPL are associated with BTPDs",Weak,Supports,NA,NA,Yes
42,Knowles et al,1,BTPD,MOPL,MOPL,USA,MT,Phillips County,No,"Mixed-grass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Sagebrush Steppe,NA,NA,47.686306,-108.45292,42,11,PRAIRIE POTHOLES,1978,1979,2,Spring/Summer,Apr-Aug,Breeding Season,Breeding Season,NA,NA,NA,"56,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,3,Not specified,Occurrence,Transect,Driving transects to count MOPL,Relative abundance,birds/count,Chi-Square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,91,MOPL observations,Not calculating,Not calculating,Yes,No,Not mentioned,Authors conclude that MOPL selectively inhabit BTPD towns in this area. The authors also note (but did not expressly test) that MOPL were found on larger towns and that cattle grazing alone was not enough to create habitat for MOPL.,Moderate,Supports,NA,NA,No
43,Agnew et al (1986),1,BTPD,"HOLA, WEME, MODO, KILL, BARS, BUOW, COGR, RWBL, ROPI, UPSA, LARB, GRSP, CONI",General,USA,SD,Badlands NP,No,Mixed-grass Prairie,Mixed-grass Prairie,NA,NA,NA,43.738555,-102.233435,43,17,BADLANDS AND PRAIRIES,1981,1982,2,Spring/Summer,Not specified,Breeding Season,Breeding Season,NA,NA,NA,Not specified,Bison,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,Paired colonies and uncolonized grassland,Relative abundance,birds/5 ha,ANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified,observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Richness on PD towns was higher across seasons & years, but this is mostly explained by species that would not have been using the prairie dog towns. 2) Abundance on PD towns was higher across seasons & years, but this is mostly explained by Horned Larks. 3) The author posits + arthropod abundance & + seed abundance on prairie dog colonies as mechanisms for increased abundance/diversity",Moderate,Supports,NA,NA,No
43,Agnew et al (1986),2,BTPD,"HOLA, WEME, MODO, KILL, BARS, BUOW, COGR, RWBL, ROPI, UPSA, LARB, GRSP, CONI",General,USA,SD,Badlands NP,No,Mixed-grass Prairie,Mixed-grass Prairie,NA,NA,NA,43.738555,-102.233435,43,17,BADLANDS AND PRAIRIES,1981,1982,2,Spring/Summer,Not specified,Breeding Season,Breeding Season,NA,NA,NA,Not specified,Bison,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,Paired colonies and uncolonized grassland,NA,NA,NA,Species richness,species,Paired t-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified,species,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Richness on PD towns was higher across seasons & years, but this is mostly explained by species that would not have been using the prairie dog towns. 2) Abundance on PD towns was higher across seasons & years, but this is mostly explained by Horned Larks. 3) The author posits + arthropod abundance & + seed abundance on prairie dog colonies as mechanisms for increased abundance/diversity",Moderate,Supports,NA,NA,No
